,student_id
0,MNVG5
1,LB2TH
2,ETDRG
3,TME5H
4,G8C0U
5,LB8XY
6,AEGY3
7,7PFTS
8,74LOE
9,EXWEA
10,2J7T0
11,UPVQB
12,0KZS6
13,RGPSQ
14,5IKFU
15,MASAB
16,BLF0G
17,S4YGT
18,PNXUP
19,0FC2B
20,6PQH8
21,C1MCZ
22,42NEO
23,H08BV
24,0WW6N
25,PN7DI
26,OA8E3
27,7FG13
28,AJN0V
29,4RRBE
30,6DCTV
31,K8KRE
32,ABNLD
33,6TTZY
34,HD0QR
35,BG9FM
36,EYFXR
37,KG5MF
38,LLVCV
39,VX97O
40,RFA8S
41,AKMB6
42,WEKZ0
43,6GLIV
44,IXNI7
45,TIVFF
46,GHNH4
47,I9OJV
48,I3X3Z
49,OCUFY
50,CES33
51,N3DMQ
52,TBYDV
53,QS03G
54,DQYGC
55,FZS9D
56,5T3FK
57,YEJFP
58,F9AF4
59,BHDD2
60,N2XBL
61,DH9JM
62,PWTOX
63,MMHV2
64,WIX9F
65,4Q94R
66,CRILM
67,SAYN0
68,6W3J2
69,C3584
70,KJGKN
71,XWMAD
72,8DGQQ
73,JSYRI
74,1VMNH
75,4GUB6
76,4YT5N
77,DTGZA
78,CJSVH
79,GOPGB
80,ETID2
81,I9AT5
82,G1D76
83,P7B9V
84,7PML3
85,EKP6D
86,5Z1B6
87,QCW77
88,1ZWVL
89,GDMQS
90,WUC3P
91,9UO4I
92,MMT5M
93,F51X9
94,0U8DI
95,XKSFM
96,IJKWF
97,4ZRL3
98,OBJSU
99,YJLKC
100,49F3U
101,U8IBL
102,CPQ7T
103,JIPLL
104,IXGKA
105,PDDSN
106,M401J
107,39K0Q
108,65RSM
109,2RA1H
110,BFTIU
111,EPWXS
112,OCJE3
113,U24U5
114,7JBMI
115,4AV4I
116,GNFMX
117,48A1T
118,03T0E
119,FNZ5V
120,JKPGR
121,7BH6I
122,93BY7
123,3431D
124,9E26H
125,ZKC14
126,CFH25
127,TT9MG
128,ME537
129,6O48K
130,72VS3
131,XP6HQ
132,GTHLL
133,DWGQI
134,3XOWE
135,V69IG
136,YED8S
137,2Y5KB
138,B7ZPX
139,TQBTQ
140,EUE94
141,LFC9U
142,TGZB2
143,EMI9G
144,TNGFN
145,Z5DTY
146,R63EU
147,VIVT4
148,1ZXE0
149,39KCW
150,66QL7
151,H0CGC
152,BIFAM
153,WLH9L
154,DXI2U
155,KA6AR
