student_id,pretest
MNVG5,52.83599
LB2TH,53.936638
ETDRG,67.61782
TME5H,42.030464
G8C0U,50.069256
LB8XY,73.69674
AEGY3,61.324276
7PFTS,55.326862
74LOE,62.880787
EXWEA,61.869186
2J7T0,39.324516
UPVQB,36.3246
0KZS6,46.45355
RGPSQ,42.549587
5IKFU,60.10445
MASAB,57.19919
BLF0G,38.489334
S4YGT,48.6277
PNXUP,75.12085
0FC2B,46.476196
6PQH8,52.21706
C1MCZ,31.46394
42NEO,48.52439
H08BV,75.12085
0WW6N,60.10445
PN7DI,68.30607
OA8E3,75.12085
7FG13,73.69193
AJN0V,59.84116
4RRBE,68.5019
6DCTV,60.809128
K8KRE,53.701767
ABNLD,40.532112
6TTZY,47.074764
HD0QR,63.91309
BG9FM,39.89427
EYFXR,60.0337
KG5MF,31.888342
LLVCV,73.12956
VX97O,73.12956
RFA8S,59.84116
AKMB6,69.664635
WEKZ0,73.97296
6GLIV,29.969187
IXNI7,52.89387
TIVFF,40.418877
GHNH4,55.066017
I9OJV,57.115807
I3X3Z,79.633484
OCUFY,56.689552
CES33,64.13299
N3DMQ,55.066017
TBYDV,71.69552
QS03G,63.91309
DQYGC,83.52458
FZS9D,62.11349
5T3FK,68.30607
YEJFP,65.06214
F9AF4,73.97296
BHDD2,47.917027
N2XBL,39.324516
DH9JM,62.11349
PWTOX,68.30607
MMHV2,39.89427
WIX9F,68.30607
4Q94R,43.348732
CRILM,31.888342
SAYN0,63.91309
6W3J2,41.144527
C3584,68.64719
KJGKN,64.35236
XWMAD,55.521843
8DGQQ,33.409554
JSYRI,66.26082
1VMNH,57.19919
4GUB6,39.324516
4YT5N,31.46394
DTGZA,66.26082
CJSVH,32.26879
GOPGB,64.13299
ETID2,62.11349
I9AT5,68.13104
G1D76,32.26879
P7B9V,50.266018
7PML3,57.39265
EKP6D,73.12956
5Z1B6,66.9745
QCW77,52.21706
1ZWVL,61.220978
GDMQS,64.18963
WUC3P,50.069256
9UO4I,51.64893
MMT5M,59.807213
F51X9,71.69552
0U8DI,69.828674
XKSFM,66.79628
IJKWF,59.807213
4ZRL3,53.87081
OBJSU,55.066017
YJLKC,64.11224
49F3U,57.19919
U8IBL,48.608044
CPQ7T,64.11224
JIPLL,53.87081
IXGKA,32.462315
PDDSN,55.066017
M401J,50.266018
39K0Q,61.73146
65RSM,57.21324
2RA1H,66.26082
BFTIU,73.12956
EPWXS,53.936638
OCJE3,60.0337
U24U5,60.0337
7JBMI,45.600536
4AV4I,59.84116
GNFMX,39.89427
48A1T,83.52458
03T0E,68.5019
FNZ5V,64.35236
JKPGR,43.787262
7BH6I,68.13104
93BY7,59.130234
3431D,64.35236
9E26H,43.954517
ZKC14,60.99507
CFH25,59.678432
TT9MG,49.004543
ME537,75.12085
6O48K,56.753136
72VS3,62.21028
XP6HQ,61.94445
GTHLL,67.25573
DWGQI,43.348732
3XOWE,62.880787
V69IG,66.79628
YED8S,40.418877
2Y5KB,63.91309
B7ZPX,53.897846
TQBTQ,64.18963
EUE94,83.52458
LFC9U,59.807213
TGZB2,38.489334
EMI9G,48.608044
TNGFN,55.066017
Z5DTY,64.35236
R63EU,66.529755
VIVT4,46.45355
1ZXE0,41.109173
39KCW,61.524487
66QL7,69.664635
H0CGC,55.521843
BIFAM,71.61036
WLH9L,61.70606
DXI2U,43.787262
KA6AR,73.97296
HY397,71.61036
R0Z5D,64.13299
VF28H,61.324276
889HH,55.521843
KHMUC,46.45355
RYJH1,63.38823
D1K24,40.856148
LJWJ5,50.069256
H9BKE,56.753136
EOZV5,29.614761
AD7YT,47.954647
K0K0A,57.08945
GRE0J,74.237816
65ZZN,43.393097
PRZUQ,68.64719
15IAX,40.418877
P32P9,83.61306
FZF17,63.91309
BUDF2,38.504425
5WRPI,48.6277
XTC1Q,73.69674
AZJMV,38.489334
7BEF7,61.220978
PH300,77.37097
E6EPH,44.965935
RFVK8,55.326862
JMTOQ,57.115807
YZJEF,42.549587
H4GR3,61.220978
34ANF,51.832355
14BAR,48.6277
SP09I,45.516136
MQHOL,56.753136
2PYGZ,32.26879
LBNRH,53.897846
KV76E,52.89387
6XLGF,47.074764
XILO8,50.069256
S85CT,46.149956
HRW4T,32.26879
O2EGZ,58.573368
ZSJWH,46.579365
W95QH,50.069256
8HMCH,61.94445
QIOYE,32.26879
B4YM5,52.21706
RXDYK,61.220978
2XO1P,47.98526
K6ZPT,53.936638
SJEG2,55.521843
ZTROF,60.0337
A8L7P,50.069256
FIRGN,53.936638
AC5BK,57.19919
UG0VP,29.969187
